FaceID,X,Y,Z,Heat Flux
1,0.054486535,0.192689774,0.557532674,1367853.534
2,0.055985538,0.187655039,0.535479655,1510151.761
3,0.055958205,0.188603205,0.550180664,1149108.756
4,0.055458235,0.190272675,0.557532674,1149108.756
5,0.057483636,0.182721074,0.513878662,1288169.973
6,0.056970473,0.184825541,0.528353658,1391626.182
7,0.057443139,0.184134405,0.535778992,1170511.447
8,0.057415806,0.185078837,0.550330322,1173221.663
9,0.056915806,0.18671814,0.557605998,1173221.663
10,0.05898357,0.177893504,0.492727671,1192877.154
11,0.058469471,0.179956538,0.506978668,1488257.883
12,0.05894404,0.179288005,0.514406016,1159212.657
13,0.058430871,0.181361404,0.528731344,1179444.653
14,0.05890544,0.180693802,0.536083333,1179444.653
15,0.058877206,0.181631638,0.550482992,1174411.551
16,0.058375304,0.183243673,0.557682332,1174411.551
17,0.060485437,0.173168538,0.472025675,1262441.043
18,0.059971307,0.175193939,0.48605368,1301372.59
19,0.060444945,0.174549871,0.493481008,1152133.824
20,0.059931777,0.176580902,0.507582347,1005714.448
21,0.060408243,0.175936839,0.514934347,1156405.932
22,0.059895074,0.177976339,0.529110006,1169406.589
23,0.060368707,0.177330404,0.536385661,1169406.589
24,0.06034234,0.178261632,0.550634664,1186565.358
25,0.059840473,0.179845403,0.557758667,1186565.358
26,0.061985406,0.168543437,0.451774668,1433268.219
27,0.061473174,0.170531138,0.465577667,1283845.688
28,0.061948678,0.169912542,0.47300768,1154089.727
29,0.061434579,0.171905874,0.486883016,1069027.912
30,0.061911045,0.171286306,0.494235006,1163281.645
31,0.061397877,0.17328624,0.508184998,850824.3211
32,0.061874307,0.172664805,0.515460673,1171727.523
33,0.061358306,0.174669469,0.529485677,1171104.825
34,0.061833805,0.174047068,0.536684998,1171104.825
35,0.06180934,0.174972672,0.550784322,1199326.637
36,0.061307474,0.176526301,0.557834005,1199326.637
37,0.063485376,0.164024704,0.431970673,1517828.862
38,0.062973143,0.165971939,0.445550669,1493212.079
39,0.063448678,0.165378738,0.452979991,1167823.588
40,0.062936446,0.16733164,0.466634003,1022856.517
41,0.063411945,0.166738403,0.473985006,1168849.598
42,0.062900644,0.168699738,0.487710673,856456.8002
43,0.063377074,0.168104635,0.494986674,1172351.733
44,0.062863906,0.170069768,0.508786682,1179024.343
45,0.063339405,0.169471868,0.515988017,1179024.343
46,0.062825306,0.171444504,0.529861328,1183925.572
47,0.063302708,0.170846573,0.536987305,1183925.572
48,0.063278243,0.171763672,0.550934977,1209419.179
49,0.062776376,0.173287206,0.557908325,1209419.179
50,0.06498724,0.159606735,0.412618011,1577605.475
51,0.064475009,0.161516271,0.42597167,1548307.041
52,0.064952409,0.160946604,0.433402995,918981.7368
53,0.064438311,0.162861837,0.446831319,938849.2963
54,0.064915676,0.162290304,0.454186991,1185605.882
55,0.064401543,0.164213969,0.467686666,883022.2818
56,0.064879841,0.163641469,0.47496401,1182437.382
57,0.064366674,0.165570801,0.48853835,0
58,0.064845008,0.164996435,0.495740682,1180892.146
59,0.064330907,0.166932368,0.50939034,1185299.815
60,0.064808308,0.166358002,0.516516337,1185299.815
61,0.064294207,0.168299571,0.53023999,1205914.767
62,0.064771608,0.167723302,0.537289673,1205914.767
63,0.064748076,0.168632868,0.55108667,1221376.33
64,0.064246211,0.170126236,0.55798466,1221376.33
65,0.066488106,0.155293299,0.393718343,1522510.207
66,0.06597684,0.157161402,0.406846008,1615361.437
67,0.066454208,0.156618073,0.414278005,928540.7908
68,0.065942009,0.158493739,0.427481333,893751.9093
69,0.066419408,0.157949504,0.434837331,1189760.58
70,0.065907173,0.159830836,0.448114665,875234.6223
71,0.066385506,0.159284704,0.455392008,1183102.481
72,0.065872307,0.161171672,0.468741679,0
73,0.066350642,0.160623672,0.47594401,1190841.262
74,0.06583651,0.162519104,0.489368673,1193446.67
75,0.066313909,0.161969203,0.49649467,1193446.67
76,0.065799807,0.163872167,0.509992676,1205511.338
77,0.066280039,0.163320404,0.517044006,1205511.338
78,0.06576594,0.16522997,0.53061735,1223438.529
79,0.066246142,0.164676305,0.537590678,1223438.529
80,0.066221642,0.165580236,0.551236348,1229192.964
81,0.065717908,0.167043467,0.558060018,1229192.964
82,0.067989006,0.151082433,0.375267883,1388750.996
83,0.067477707,0.152911967,0.388172343,1691549.735
84,0.067956042,0.152392202,0.39560434,1103710.313
85,0.06744381,0.154230204,0.408582336,892400.3182
86,0.067921209,0.153710439,0.415938334,0
87,0.067409007,0.155554072,0.42899,890765.5105
88,0.067889239,0.155031504,0.436269328,1197085.825
89,0.067377973,0.156880803,0.449394002,0
90,0.067856308,0.156357269,0.456596008,1192392.16
91,0.067342176,0.15821317,0.469796346,1192582.994
92,0.067821442,0.15768777,0.476922343,1192582.994
93,0.067307307,0.15954837,0.490196004,1209135.773
94,0.067787539,0.159020101,0.497245667,1209135.773
95,0.067274373,0.16088917,0.510595662,1227184.143
96,0.067754608,0.160361872,0.51757133,1227184.143
97,0.067240476,0.162239441,0.530993001,1231547.947
98,0.067719742,0.161710241,0.537891337,1231547.947
99,0.067697141,0.162605708,0.551387004,1230213.272
100,0.067193375,0.164038839,0.558134338,1230213.272
101,0.069488073,0.146976105,0.357266378,1281205.452
102,0.068976774,0.148765137,0.369945984,1488542.457
103,0.069455109,0.148271739,0.377378113,1206430.256
104,0.068945676,0.15006927,0.390132009,966601.8493
105,0.069424942,0.149574005,0.397487671,0
106,0.068912707,0.151377172,0.410315999,897733.5307
107,0.069390106,0.150879074,0.417595673,1197076.769
108,0.06887884,0.152689774,0.430497335,0
109,0.069359075,0.152189774,0.437700338,1197231.513
110,0.068847809,0.15400797,0.450674337,1192392.16
111,0.069327075,0.153506104,0.457802348,1196587.496
112,0.06881484,0.155330002,0.470850016,1192582.994
113,0.069294106,0.154826269,0.477901672,1202748.998
114,0.06878094,0.156655767,0.491023661,1221818.469
115,0.069261141,0.156151998,0.498,1221818.469
116,0.068747976,0.157989034,0.511197673,1235339.143
117,0.069229108,0.157483404,0.518097005,1235339.143
118,0.068715007,0.159327042,0.531368998,1235099.746
119,0.069197105,0.158816706,0.538192668,1235099.746
120,0.069175474,0.159706538,0.551538676,1228442.037
121,0.068670774,0.16111234,0.558210673,1228442.037
122,0.070989906,0.142971502,0.339715902,1287113.167
123,0.070477707,0.14472287,0.352170441,1320443.214
124,0.070957909,0.144253036,0.359603414,1219565.414
125,0.070446609,0.146012873,0.37213148,1071525.867
126,0.070926809,0.145541138,0.379487376,0
127,0.070414574,0.147304738,0.392089671,900910.613
128,0.07089384,0.146831136,0.399369008,1191149.681
129,0.070381607,0.148602305,0.412046682,0
130,0.070861842,0.148127736,0.419251017,1196578.24
131,0.070350576,0.149904505,0.432003011,1197231.513
132,0.070832675,0.149427104,0.439130676,1197756.907
133,0.07032044,0.151210505,0.451956014,1196587.496
134,0.070802539,0.150733139,0.45900768,1205326.911
